place1,place2,relation
Swinton,Yorkshire and the Humber Euro Region,within
Wombwell,Yorkshire and the Humber Euro Region,within
Killingbeck and Seacroft,Yorkshire and the Humber Euro Region,within
Northowram and Shelf,Yorkshire and the Humber Euro Region,within
Cleckheaton,Yorkshire and the Humber Euro Region,within
Gleadless Valley,Yorkshire and the Humber Euro Region,within
Manningham,Yorkshire and the Humber Euro Region,within
Rother Vale,Yorkshire and the Humber Euro Region,within
Firth Park,Yorkshire and the Humber Euro Region,within
Calverley and Farsley,Yorkshire and the Humber Euro Region,within
Silverwood,Yorkshire and the Humber Euro Region,within
Central,Yorkshire and the Humber Euro Region,within
Broomhill & Sharrow Vale,Yorkshire and the Humber Euro Region,within
Armley,Yorkshire and the Humber Euro Region,within
North East,Yorkshire and the Humber Euro Region,within
Wrenthorpe and Outwood West,Yorkshire and the Humber Euro Region,within
Adwick le Street & Carcroft,Yorkshire and the Humber Euro Region,within
Golcar,Yorkshire and the Humber Euro Region,within
Hoyland Milton,Yorkshire and the Humber Euro Region,within
Liversedge and Gomersal,Yorkshire and the Humber Euro Region,within
Old Town,Yorkshire and the Humber Euro Region,within
City,Yorkshire and the Humber Euro Region,within
Rastrick,Yorkshire and the Humber Euro Region,within
Keighley West,Yorkshire and the Humber Euro Region,within
Sowerby Bridge,Yorkshire and the Humber Euro Region,within
Knottingley,Yorkshire and the Humber Euro Region,within
Manor Castle,Yorkshire and the Humber Euro Region,within
Woodhouse,Yorkshire and the Humber Euro Region,within
Birstall and Birkenshaw,Yorkshire and the Humber Euro Region,within
Adel and Wharfedale,Yorkshire and the Humber Euro Region,within
Stainforth & Barnby Dun,Yorkshire and the Humber Euro Region,within
Beauchief & Greenhill,Yorkshire and the Humber Euro Region,within
Luddendenfoot,Yorkshire and the Humber Euro Region,within
Graves Park,Yorkshire and the Humber Euro Region,within
Illingworth and Mixenden,Yorkshire and the Humber Euro Region,within
Idle and Thackley,Yorkshire and the Humber Euro Region,within
Ecclesall,Yorkshire and the Humber Euro Region,within
Boston Castle,Yorkshire and the Humber Euro Region,within
Keighley East,Yorkshire and the Humber Euro Region,within
Royston,Yorkshire and the Humber Euro Region,within
Brinsworth and Catcliffe,Yorkshire and the Humber Euro Region,within
Queensbury,Yorkshire and the Humber Euro Region,within
Stannington,Yorkshire and the Humber Euro Region,within
Dearne South,Yorkshire and the Humber Euro Region,within
Bramley and Stanningley,Yorkshire and the Humber Euro Region,within
Wheatley Hills & Intake,Yorkshire and the Humber Euro Region,within
Roman Ridge,Yorkshire and the Humber Euro Region,within
Monk Bretton,Yorkshire and the Humber Euro Region,within
Worsbrough,Yorkshire and the Humber Euro Region,within
St. Helens,Yorkshire and the Humber Euro Region,within
Gipton and Harehills,Yorkshire and the Humber Euro Region,within
Royds,Yorkshire and the Humber Euro Region,within
Shipley,Yorkshire and the Humber Euro Region,within
Bingley,Yorkshire and the Humber Euro Region,within
Crosland Moor and Netherton,Yorkshire and the Humber Euro Region,within
Wakefield Rural,Yorkshire and the Humber Euro Region,within
Wharfedale,Yorkshire and the Humber Euro Region,within
Heckmondwike,Yorkshire and the Humber Euro Region,within
Burmantofts and Richmond Hill,Yorkshire and the Humber Euro Region,within
Richmond,Yorkshire and the Humber Euro Region,within
Hexthorpe & Balby North,Yorkshire and the Humber Euro Region,within
Worth Valley,Yorkshire and the Humber Euro Region,within
Dewsbury South,Yorkshire and the Humber Euro Region,within
Stairfoot,Yorkshire and the Humber Euro Region,within
Garforth and Swillington,Yorkshire and the Humber Euro Region,within
Park & Arbourthorne,Yorkshire and the Humber Euro Region,within
Darton West,Yorkshire and the Humber Euro Region,within
Batley East,Yorkshire and the Humber Euro Region,within
Shiregreen & Brightside,Yorkshire and the Humber Euro Region,within
Penistone East,Yorkshire and the Humber Euro Region,within
Kirkstall,Yorkshire and the Humber Euro Region,within
Hipperholme and Lightcliffe,Yorkshire and the Humber Euro Region,within
Little Horton,Yorkshire and the Humber Euro Region,within
Dore & Totley,Yorkshire and the Humber Euro Region,within
Norton & Askern,Yorkshire and the Humber Euro Region,within
Clayton and Fairweather Green,Yorkshire and the Humber Euro Region,within
Rawmarsh,Yorkshire and the Humber Euro Region,within
Ashbrow,Yorkshire and the Humber Euro Region,within
Hillsborough,Yorkshire and the Humber Euro Region,within
West Ecclesfield,Yorkshire and the Humber Euro Region,within
Calder,Yorkshire and the Humber Euro Region,within
Horbury and South Ossett,Yorkshire and the Humber Euro Region,within
Edlington & Warmsworth,Yorkshire and the Humber Euro Region,within
Halesowen North,West Midlands Euro Region,within
Paddock,West Midlands Euro Region,within
Blythe,West Midlands Euro Region,within
Coseley East,West Midlands Euro Region,within
Newton,West Midlands Euro Region,within
Brownhills,West Midlands Euro Region,within
Friar Park,West Midlands Euro Region,within
Oldbury,West Midlands Euro Region,within
Wainbody,West Midlands Euro Region,within
Hall Green,West Midlands Euro Region,within
Brierley Hill,West Midlands Euro Region,within
Harborne,West Midlands Euro Region,within
Selly Oak,West Midlands Euro Region,within
Hayley Green and Cradley South,West Midlands Euro Region,within
Aston,West Midlands Euro Region,within
Sutton Four Oaks,West Midlands Euro Region,within
Ettingshall,West Midlands Euro Region,within
Kingstanding,West Midlands Euro Region,within
Bilston East,West Midlands Euro Region,within
Graiseley,West Midlands Euro Region,within
Aldridge North and Walsall Wood,West Midlands Euro Region,within
Sutton Vesey,West Midlands Euro Region,within
Park,West Midlands Euro Region,within
Erdington,West Midlands Euro Region,within
Penn,West Midlands Euro Region,within
Cheylesmore,West Midlands Euro Region,within
St. Alphege,West Midlands Euro Region,within
Silhill,West Midlands Euro Region,within
Moseley and Kings Heath,West Midlands Euro Region,within
Merry Hill,West Midlands Euro Region,within
Longbridge,West Midlands Euro Region,within
Ladywood,West Midlands Euro Region,within
St. James's,West Midlands Euro Region,within
Wednesfield South,West Midlands Euro Region,within
Weoley,West Midlands Euro Region,within
Upper Gornal and Woodsetton,West Midlands Euro Region,within
Darlaston South,West Midlands Euro Region,within
Northfield,West Midlands Euro Region,within
Langley,West Midlands Euro Region,within
Pleck,West Midlands Euro Region,within
Smethwick,West Midlands Euro Region,within
Greets Green and Lyng,West Midlands Euro Region,within
St. Peter's,West Midlands Euro Region,within
Short Heath,West Midlands Euro Region,within
Sparkbrook,West Midlands Euro Region,within
Bushbury South and Low Hill,West Midlands Euro Region,within
Streetly,West Midlands Euro Region,within
Kingshurst and Fordbridge,West Midlands Euro Region,within
Tividale,West Midlands Euro Region,within
South Yardley,West Midlands Euro Region,within
Rowley,West Midlands Euro Region,within
Cradley Heath and Old Hill,West Midlands Euro Region,within
Kingswinford North and Wall Heath,West Midlands Euro Region,within
Perry Barr,West Midlands Euro Region,within
Shard End,West Midlands Euro Region,within
Belle Vale,West Midlands Euro Region,within
Acocks Green,West Midlands Euro Region,within
Sutton New Hall,West Midlands Euro Region,within
Olton,West Midlands Euro Region,within
Earlsdon,West Midlands Euro Region,within
Foleshill,West Midlands Euro Region,within
Old Warley,West Midlands Euro Region,within
St. Michael's,West Midlands Euro Region,within
Kingswinford South,West Midlands Euro Region,within
Oscott,West Midlands Euro Region,within
Shirley West,West Midlands Euro Region,within
St. Matthew's,West Midlands Euro Region,within
Bloxwich East,West Midlands Euro Region,within
Princes End,West Midlands Euro Region,within
Soho and Victoria,West Midlands Euro Region,within
Great Barr with Yew Tree,West Midlands Euro Region,within
Lower Stoke,West Midlands Euro Region,within
Brockmoor and Pensnett,West Midlands Euro Region,within
Lozells and East Handsworth,West Midlands Euro Region,within
Bartley Green,West Midlands Euro Region,within
Henley,West Midlands Euro Region,within
Sutton Trinity,West Midlands Euro Region,within
Holbrook,West Midlands Euro Region,within
Soho,West Midlands Euro Region,within
Blackheath,West Midlands Euro Region,within
Stechford and Yardley North,West Midlands Euro Region,within
Pelsall,West Midlands Euro Region,within
Sedgley,West Midlands Euro Region,within
Knowle,West Midlands Euro Region,within
Birchills Leamore,West Midlands Euro Region,within
Charlemont with Grove Vale,West Midlands Euro Region,within
Tettenhall Regis,West Midlands Euro Region,within
Castle and Priory,West Midlands Euro Region,within
Shirley East,West Midlands Euro Region,within
Spring Vale,West Midlands Euro Region,within
Tettenhall Wightwick,West Midlands Euro Region,within
Tyburn,West Midlands Euro Region,within
Elmdon,West Midlands Euro Region,within
Nechells,West Midlands Euro Region,within
Tipton Green,West Midlands Euro Region,within
Aldridge Central and South,West Midlands Euro Region,within
Handsworth Wood,West Midlands Euro Region,within
Wednesbury South,West Midlands Euro Region,within
Hateley Heath,West Midlands Euro Region,within
Lyndon,West Midlands Euro Region,within
Rushall-Shelfield,West Midlands Euro Region,within
Amblecote,West Midlands Euro Region,within
St. Pauls,West Midlands Euro Region,within
Billesley,West Midlands Euro Region,within
St. Thomas's,West Midlands Euro Region,within
Great Bridge,West Midlands Euro Region,within
Abbey,West Midlands Euro Region,within
Lye and Stourbridge North,West Midlands Euro Region,within
Springfield,West Midlands Euro Region,within
Bablake,West Midlands Euro Region,within
East Park,West Midlands Euro Region,within
Radford,West Midlands Euro Region,within
Edgbaston,West Midlands Euro Region,within
Pedmore and Stourbridge East,West Midlands Euro Region,within
Longford,West Midlands Euro Region,within
Netherton Woodside and St. Andrews,West Midlands Euro Region,within
Shirley South,West Midlands Euro Region,within
West Bromwich Central,West Midlands Euro Region,within
Kings Norton,West Midlands Euro Region,within
Binley and Willenhall,West Midlands Euro Region,within
Blakenall,West Midlands Euro Region,within
Quinton,West Midlands Euro Region,within
Bordesley Green,West Midlands Euro Region,within
Upper Stoke,West Midlands Euro Region,within
Bushbury North,West Midlands Euro Region,within
Wednesfield North,West Midlands Euro Region,within
Fallings Park,West Midlands Euro Region,within
Washwood Heath,West Midlands Euro Region,within
Palfrey,West Midlands Euro Region,within
Bloxwich West,West Midlands Euro Region,within
Norton,West Midlands Euro Region,within
Stockland Green,West Midlands Euro Region,within
Pheasey Park Farm,West Midlands Euro Region,within
Bentley and Darlaston North,West Midlands Euro Region,within
Wednesbury North,West Midlands Euro Region,within
Bilston North,West Midlands Euro Region,within
Brandwood,West Midlands Euro Region,within
Dorridge and Hockley Heath,West Midlands Euro Region,within
Gornal,West Midlands Euro Region,within
Halesowen South,West Midlands Euro Region,within
Cradley and Wollescote,West Midlands Euro Region,within
Heath Town,West Midlands Euro Region,within
Quarry Bank and Dudley Wood,West Midlands Euro Region,within
Hodge Hill,West Midlands Euro Region,within
Blakenhall,West Midlands Euro Region,within
Bournville,West Midlands Euro Region,within
Sheldon,West Midlands Euro Region,within
Fenham,North East Euro Region,within
Chowdene,North East Euro Region,within
Bede,North East Euro Region,within
Bridges,North East Euro Region,within
Hebburn South,North East Euro Region,within
Blaydon,North East Euro Region,within
Boldon Colliery,North East Euro Region,within
Lemington,North East Euro Region,within
Kenton,North East Euro Region,within
Hebburn North,North East Euro Region,within
Birtley,North East Euro Region,within
Millfield,North East Euro Region,within
Crawcrook and Greenside,North East Euro Region,within
Denton,North East Euro Region,within
Harton,North East Euro Region,within
Hendon,North East Euro Region,within
Doxford,North East Euro Region,within
High Fell,North East Euro Region,within
Benton,North East Euro Region,within
Longbenton,North East Euro Region,within
Dene,North East Euro Region,within
Houghton,North East Euro Region,within
Dunston Hill and Whickham East,North East Euro Region,within
Low Fell,North East Euro Region,within
Cleadon Park,North East Euro Region,within
East Gosforth,North East Euro Region,within
Camperdown,North East Euro Region,within
Cleadon and East Boldon,North East Euro Region,within
Lobley Hill and Bensham,North East Euro Region,within
Fellgate and Hedworth,North East Euro Region,within
Biddick and All Saints,North East Euro Region,within
Castle,North East Euro Region,within
Byker,North East Euro Region,within
Chopwell and Rowlands Gill,North East Euro Region,within
Killingworth,North East Euro Region,within
Barnes,North East Euro Region,within
Dunston and Teams,North East Euro Region,within
Collingwood,North East Euro Region,within
Elswick,North East Euro Region,within
Cullercoats,North East Euro Region,within
Horsley Hill,North East Euro Region,within
Monkton,North East Euro Region,within
Fawdon,North East Euro Region,within
Monkseaton North,North East Euro Region,within
Benwell and Scotswood,North East Euro Region,within
Deckham,North East Euro Region,within
Battle Hill,North East Euro Region,within
Copt Hill,North East Euro Region,within
Fulwell,North East Euro Region,within
Newburn,North East Euro Region,within
Beacon and Bents,North East Euro Region,within
Chirton,North East Euro Region,within
Howdon,North East Euro Region,within
Monkseaton South,North East Euro Region,within
Felling,North East Euro Region,within
Castle Eden,City of Sunderland,within
Sandhill,City of Sunderland,within
Southwick,City of Sunderland,within
Washington West,City of Sunderland,within
St. Chad's,City of Sunderland,within
Washington Central,City of Sunderland,within
Silksworth,City of Sunderland,within
Millfield,City of Sunderland,within
St. Anne's,City of Sunderland,within
Washington South,City of Sunderland,within
Hendon,City of Sunderland,within
Doxford,City of Sunderland,within
Houghton,City of Sunderland,within
St. Michael's,City of Sunderland,within
St. Peter's,City of Sunderland,within
Ryhope,City of Sunderland,within
Redhill,City of Sunderland,within
Pallion,City of Sunderland,within
Washington North,City of Sunderland,within
Barnes,City of Sunderland,within
Shiney Row,City of Sunderland,within
Copt Hill,City of Sunderland,within
Fulwell,City of Sunderland,within
Washington East,City of Sunderland,within
Medlock Vale,Metropolitan Borough of Oldham,within
Waterhead,Metropolitan Borough of Oldham,within
St. Mary's,Metropolitan Borough of Oldham,within
Saddleworth West and Lees,Metropolitan Borough of Oldham,within
Hollinwood,Metropolitan Borough of Oldham,within
Shaw,Metropolitan Borough of Oldham,within
Alexandra,Metropolitan Borough of Oldham,within
Crompton,Metropolitan Borough of Oldham,within
Royton South,Metropolitan Borough of Oldham,within
St. James',Metropolitan Borough of Oldham,within
Saddleworth North,Metropolitan Borough of Oldham,within
Chadderton Central,Metropolitan Borough of Oldham,within
Royton North,Metropolitan Borough of Oldham,within
Chadderton North,Metropolitan Borough of Oldham,within
Coldhurst,Metropolitan Borough of Oldham,within
Failsworth West,Metropolitan Borough of Oldham,within
Failsworth East,Metropolitan Borough of Oldham,within
Chadderton South,Metropolitan Borough of Oldham,within
Werneth,Metropolitan Borough of Oldham,within
Blackrod,Metropolitan Borough of St Helens,within
Eccleston St Helens,Metropolitan Borough of St Helens,within
Bold St Helens,Metropolitan Borough of St Helens,within
West Park,Metropolitan Borough of St Helens,within
Haydock,Metropolitan Borough of St Helens,within
Billinge and Seneley Green,Metropolitan Borough of St Helens,within
Town Centre,Metropolitan Borough of St Helens,within
Thatto Heath,Metropolitan Borough of St Helens,within
Moss Bank,Metropolitan Borough of St Helens,within
Newton,Metropolitan Borough of St Helens,within
Parr,Metropolitan Borough of St Helens,within
Earlestown,Metropolitan Borough of St Helens,within
Maltby South Yorkshire,Metropolitan Borough of Rotherham,within
Anston and Woodsetts,Metropolitan Borough of Rotherham,within
Rotherham East,Metropolitan Borough of Rotherham,within
Hoober,Metropolitan Borough of Rotherham,within
Rotherham West,Metropolitan Borough of Rotherham,within
Keppel,Metropolitan Borough of Rotherham,within
Wath,Metropolitan Borough of Rotherham,within
Valley,Metropolitan Borough of Rotherham,within
Hellaby,Metropolitan Borough of Rotherham,within
Holderness,Metropolitan Borough of Rotherham,within
Wingfield,Metropolitan Borough of Rotherham,within
Sitwell,Metropolitan Borough of Rotherham,within
Swinton,Metropolitan Borough of Rotherham,within
Rother Vale,Metropolitan Borough of Rotherham,within
Silverwood,Metropolitan Borough of Rotherham,within
Boston Castle,Metropolitan Borough of Rotherham,within
Brinsworth and Catcliffe,Metropolitan Borough of Rotherham,within
Rawmarsh,Metropolitan Borough of Rotherham,within
Alwoodley,County Borough of Leeds,within
Ardsley and Robin Hood,County Borough of Leeds,within
Cross Gates and Whinmoor,County Borough of Leeds,within
Pudsey,County Borough of Leeds,within
Farnley and Wortley,County Borough of Leeds,within
Rothwell,County Borough of Leeds,within
Beeston and Holbeck,County Borough of Leeds,within
Weetwood,County Borough of Leeds,within
Headingley,County Borough of Leeds,within
Moortown,County Borough of Leeds,within
Otley and Yeadon,County Borough of Leeds,within
Hyde Park and Woodhouse,County Borough of Leeds,within
Chapel Allerton,County Borough of Leeds,within
Temple Newsam,County Borough of Leeds,within
Roundhay,County Borough of Leeds,within
Guiseley and Rawdon,County Borough of Leeds,within
Morley South,County Borough of Leeds,within
City and Hunslet,County Borough of Leeds,within
Middleton Park,County Borough of Leeds,within
Killingbeck and Seacroft,County Borough of Leeds,within
Calverley and Farsley,County Borough of Leeds,within
Armley,County Borough of Leeds,within
Adel and Wharfedale,County Borough of Leeds,within
Bramley and Stanningley,County Borough of Leeds,within
Gipton and Harehills,County Borough of Leeds,within
Burmantofts and Richmond Hill,County Borough of Leeds,within
Garforth and Swillington,County Borough of Leeds,within
Kirkstall,County Borough of Leeds,within
Lamesley,Metropolitan Borough of Gateshead,within
Chowdene,Metropolitan Borough of Gateshead,within
Bridges,Metropolitan Borough of Gateshead,within
Blaydon,Metropolitan Borough of Gateshead,within
Pelaw and Heworth,Metropolitan Borough of Gateshead,within
Windy Nook and Whitehills,Metropolitan Borough of Gateshead,within
Whickham North,Metropolitan Borough of Gateshead,within
Birtley,Metropolitan Borough of Gateshead,within
Ryton Crookhill and Stella,Metropolitan Borough of Gateshead,within
Crawcrook and Greenside,Metropolitan Borough of Gateshead,within
High Fell,Metropolitan Borough of Gateshead,within
Saltwell,Metropolitan Borough of Gateshead,within
Dunston Hill and Whickham East,Metropolitan Borough of Gateshead,within
Low Fell,Metropolitan Borough of Gateshead,within
Winlaton and High Spen,Metropolitan Borough of Gateshead,within
Lobley Hill and Bensham,Metropolitan Borough of Gateshead,within
Whickham South and Sunniside,Metropolitan Borough of Gateshead,within
Chopwell and Rowlands Gill,Metropolitan Borough of Gateshead,within
Dunston and Teams,Metropolitan Borough of Gateshead,within
Deckham,Metropolitan Borough of Gateshead,within
Wardley and Leam Lane,Metropolitan Borough of Gateshead,within
Felling,Metropolitan Borough of Gateshead,within
Longford,Trafford,within
Hale Central,Trafford,within
Broadheath,Trafford,within
St. Mary's,Trafford,within
Priory,Trafford,within
Timperley,Trafford,within
Sale Moor,Trafford,within
Hale Barns,Trafford,within
Ashton upon Mersey,Trafford,within
Bowdon,Trafford,within
Davyhulme West,Trafford,within
Altrincham,Trafford,within
Urmston,Trafford,within
Davyhulme East,Trafford,within
Brooklands,Trafford,within
Bucklow-St. Martins,Trafford,within
Flixton,Trafford,within
Clifford,Trafford,within
Gorse Hill,Trafford,within
Stretford,Trafford,within
Village,Trafford,within
Moorside,Metropolitan Borough of Bury,within
Ramsbottom,Metropolitan Borough of Bury,within
Radcliffe East,Metropolitan Borough of Bury,within
Holyrood,Metropolitan Borough of Bury,within
Pilkington Park,Metropolitan Borough of Bury,within
Besses,Metropolitan Borough of Bury,within
Sedgley,Metropolitan Borough of Bury,within
Radcliffe West,Metropolitan Borough of Bury,within
Radcliffe North,Metropolitan Borough of Bury,within
Elton,Metropolitan Borough of Bury,within
St. Mary's,Metropolitan Borough of Bury,within
East,Metropolitan Borough of Bury,within
Tottington,Metropolitan Borough of Bury,within
Redvales,Metropolitan Borough of Bury,within
North Manor,Metropolitan Borough of Bury,within
Unsworth,Metropolitan Borough of Bury,within
Church,Metropolitan Borough of Bury,within
Kirkburton,Kirklees,within
Holme Valley,Kirklees,within
Denby Dale,Kirklees,within
Almondbury,Kirklees,within
Batley West,Kirklees,within
Greenhead,Kirklees,within
Dalton,Kirklees,within
Holme Valley North,Kirklees,within
Lindley,Kirklees,within
Dewsbury East,Kirklees,within
Colne Valley,Kirklees,within
Dewsbury West,Kirklees,within
Newsome,Kirklees,within
Cleckheaton,Kirklees,within
Golcar,Kirklees,within
Liversedge and Gomersal,Kirklees,within
Birstall and Birkenshaw,Kirklees,within
Crosland Moor and Netherton,Kirklees,within
Heckmondwike,Kirklees,within
Dewsbury South,Kirklees,within
Batley East,Kirklees,within
Ashbrow,Kirklees,within
Bryn,Metropolitan Borough of Wigan,within
Ince,Metropolitan Borough of Wigan,within
Aspull New Springs Whelley,Metropolitan Borough of Wigan,within
Lowton East,Metropolitan Borough of Wigan,within
Leigh South,Metropolitan Borough of Wigan,within
Leigh East,Metropolitan Borough of Wigan,within
Leigh West,Metropolitan Borough of Wigan,within
Abram,Metropolitan Borough of Wigan,within
Atherleigh,Metropolitan Borough of Wigan,within
Pemberton,Metropolitan Borough of Wigan,within
Standish with Langtree,Metropolitan Borough of Wigan,within
Douglas,Metropolitan Borough of Wigan,within
Hindley,Metropolitan Borough of Wigan,within
Hindley Green,Metropolitan Borough of Wigan,within
Atherton,Metropolitan Borough of Wigan,within
Golborne and Lowton West,Metropolitan Borough of Wigan,within
Wigan Central,Metropolitan Borough of Wigan,within
Worsley Mesnes,Metropolitan Borough of Wigan,within
Shevington with Lower Ground,Metropolitan Borough of Wigan,within
Ashton,Metropolitan Borough of Wigan,within
Wigan West,Metropolitan Borough of Wigan,within
Astley Mosley Common,Metropolitan Borough of Wigan,within
Winstanley,Metropolitan Borough of Wigan,within
Orrell,Metropolitan Borough of Wigan,within
Tyldesley,Metropolitan Borough of Wigan,within
Halesowen North,Metropolitan Borough of Dudley,within
Coseley East,Metropolitan Borough of Dudley,within
Brierley Hill,Metropolitan Borough of Dudley,within
Hayley Green and Cradley South,Metropolitan Borough of Dudley,within
St. James's,Metropolitan Borough of Dudley,within
Upper Gornal and Woodsetton,Metropolitan Borough of Dudley,within
Kingswinford North and Wall Heath,Metropolitan Borough of Dudley,within
Belle Vale,Metropolitan Borough of Dudley,within
Kingswinford South,Metropolitan Borough of Dudley,within
Brockmoor and Pensnett,Metropolitan Borough of Dudley,within
Sedgley,Metropolitan Borough of Dudley,within
Castle and Priory,Metropolitan Borough of Dudley,within
Wollaston and Stourbridge Town,Metropolitan Borough of Dudley,within
Amblecote,Metropolitan Borough of Dudley,within
St. Thomas's,Metropolitan Borough of Dudley,within
Lye and Stourbridge North,Metropolitan Borough of Dudley,within
Pedmore and Stourbridge East,Metropolitan Borough of Dudley,within
Wordsley,Metropolitan Borough of Dudley,within
Netherton Woodside and St. Andrews,Metropolitan Borough of Dudley,within
Norton,Metropolitan Borough of Dudley,within
Gornal,Metropolitan Borough of Dudley,within
Halesowen South,Metropolitan Borough of Dudley,within
Cradley and Wollescote,Metropolitan Borough of Dudley,within
Quarry Bank and Dudley Wood,Metropolitan Borough of Dudley,within
Crofton Ryhill and Walton,City of Wakefield,within
Pontefract South,City of Wakefield,within
Ackworth North Elmsall and Upton,City of Wakefield,within
Altofts and Whitwood,City of Wakefield,within
Wakefield South,City of Wakefield,within
Airedale and Ferry Fryston,City of Wakefield,within
South Elmsall and South Kirkby,City of Wakefield,within
Wakefield North,City of Wakefield,within
Ossett,City of Wakefield,within
Wakefield West,City of Wakefield,within
Castleford Central and Glasshoughton,City of Wakefield,within
Pontefract North,City of Wakefield,within
Wakefield East,City of Wakefield,within
Stanley and Outwood East,City of Wakefield,within
Wrenthorpe and Outwood West,City of Wakefield,within
Knottingley,City of Wakefield,within
Wakefield Rural,City of Wakefield,within
Horbury and South Ossett,City of Wakefield,within
Bickenhill,Metropolitan Borough of Solihull,within
Castle Bromwich,Metropolitan Borough of Solihull,within
Meriden West Midlands,Metropolitan Borough of Solihull,within
Chelmsley Wood,Metropolitan Borough of Solihull,within
Blythe,Metropolitan Borough of Solihull,within
St. Alphege,Metropolitan Borough of Solihull,within
Silhill,Metropolitan Borough of Solihull,within
Kingshurst and Fordbridge,Metropolitan Borough of Solihull,within
Olton,Metropolitan Borough of Solihull,within
Shirley West,Metropolitan Borough of Solihull,within
Knowle,Metropolitan Borough of Solihull,within
Shirley East,Metropolitan Borough of Solihull,within
Elmdon,Metropolitan Borough of Solihull,within
Lyndon,Metropolitan Borough of Solihull,within
Shirley South,Metropolitan Borough of Solihull,within
Dorridge and Hockley Heath,Metropolitan Borough of Solihull,within
Darton East,Metropolitan Borough of Barnsley,within
Dearne North,Metropolitan Borough of Barnsley,within
Rockingham,Metropolitan Borough of Barnsley,within
Cudworth,Metropolitan Borough of Barnsley,within
Kingstone,Metropolitan Borough of Barnsley,within
Dodworth,Metropolitan Borough of Barnsley,within
Darfield,Metropolitan Borough of Barnsley,within
Wombwell,Metropolitan Borough of Barnsley,within
Central,Metropolitan Borough of Barnsley,within
North East,Metropolitan Borough of Barnsley,within
Hoyland Milton,Metropolitan Borough of Barnsley,within
Old Town,Metropolitan Borough of Barnsley,within
Royston,Metropolitan Borough of Barnsley,within
Dearne South,Metropolitan Borough of Barnsley,within
Monk Bretton,Metropolitan Borough of Barnsley,within
Worsbrough,Metropolitan Borough of Barnsley,within
St. Helens,Metropolitan Borough of Barnsley,within
Stairfoot,Metropolitan Borough of Barnsley,within
Darton West,Metropolitan Borough of Barnsley,within
Penistone East,Metropolitan Borough of Barnsley,within
Wainbody,Coventry,within
Cheylesmore,Coventry,within
Earlsdon,Coventry,within
Foleshill,Coventry,within
St. Michael's,Coventry,within
Westwood,Coventry,within
Wyken,Coventry,within
Lower Stoke,Coventry,within
Henley,Coventry,within
Holbrook,Coventry,within
Woodlands,Coventry,within
Bablake,Coventry,within
Radford,Coventry,within
Longford,Coventry,within
Binley and Willenhall,Coventry,within
Upper Stoke,Coventry,within
Whoberley,Coventry,within
Mossley,Tameside,within
Ashton Waterloo,Tameside,within
Denton North East,Tameside,within
Denton South,Tameside,within
St. Peter's,Tameside,within
Dukinfield,Tameside,within
Longdendale,Tameside,within
Ashton Hurst,Tameside,within
Hyde Werneth,Tameside,within
Audenshaw,Tameside,within
Stalybridge South,Tameside,within
Dukinfield Stalybridge,Tameside,within
Stalybridge North,Tameside,within
Droylsden East,Tameside,within
Hyde Newton,Tameside,within
Hyde Godley,Tameside,within
Droylsden West,Tameside,within
Ashton St. Michael's,Tameside,within
Heald Green,Metropolitan Borough of Stockport,within
Cheadle Hulme South,Metropolitan Borough of Stockport,within
Marple North,Metropolitan Borough of Stockport,within
Bredbury and Woodley,Metropolitan Borough of Stockport,within
Hazel Grove,Metropolitan Borough of Stockport,within
Reddish North,Metropolitan Borough of Stockport,within
Bramhall North,Metropolitan Borough of Stockport,within
Davenport and Cale Green,Metropolitan Borough of Stockport,within
Brinnington and Central,Metropolitan Borough of Stockport,within
Bramhall South and Woodford,Metropolitan Borough of Stockport,within
Stepping Hill,Metropolitan Borough of Stockport,within
Heatons South,Metropolitan Borough of Stockport,within
Cheadle and Gatley,Metropolitan Borough of Stockport,within
Marple South,Metropolitan Borough of Stockport,within
Heatons North,Metropolitan Borough of Stockport,within
Cheadle Hulme North,Metropolitan Borough of Stockport,within
Reddish South,Metropolitan Borough of Stockport,within
Manor,Metropolitan Borough of Stockport,within
Bredbury Green and Romiley,Metropolitan Borough of Stockport,within
Edgeley and Cheadle Heath,Metropolitan Borough of Stockport,within
Doxey,Wolverhampton,within
Ettingshall,Wolverhampton,within
Bilston East,Wolverhampton,within
Graiseley,Wolverhampton,within
Park,Wolverhampton,within
Penn,Wolverhampton,within
Merry Hill,Wolverhampton,within
Wednesfield South,Wolverhampton,within
St. Peter's,Wolverhampton,within
Bushbury South and Low Hill,Wolverhampton,within
Tettenhall Regis,Wolverhampton,within
Spring Vale,Wolverhampton,within
Tettenhall Wightwick,Wolverhampton,within
East Park,Wolverhampton,within
Bushbury North,Wolverhampton,within
Wednesfield North,Wolverhampton,within
Fallings Park,Wolverhampton,within
Bilston North,Wolverhampton,within
Heath Town,Wolverhampton,within
Blakenhall,Wolverhampton,within
Bede,South Tyneside,within
Hebburn South,South Tyneside,within
Boldon Colliery,South Tyneside,within
Hebburn North,South Tyneside,within
Harton,South Tyneside,within
Whiteleas,South Tyneside,within
Cleadon Park,South Tyneside,within
Simonside and Rekendyke,South Tyneside,within
Cleadon and East Boldon,South Tyneside,within
Fellgate and Hedworth,South Tyneside,within
West Park,South Tyneside,within
Biddick and All Saints,South Tyneside,within
Westoe,South Tyneside,within
Horsley Hill,South Tyneside,within
Monkton,South Tyneside,within
